ValgId;Gruppe;ValgstedId;KredsNr;StorKredsNr;LandsdelsNr;Stemmeberettigede;Afgivne stemmer;Blanke stemmer;Andre ugyldige stemmer;Gyldige stemmer;A. Socialdemokratiet;B. Det Radikale Venstre;C. Det Konservative Folkeparti;D. Centrum-Demokraterne;F. SF - Socialistisk Folkeparti;K. Kristendemokraterne;I. Liberal Alliance;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;M. Minoritetspartiet;Y. Ny Alliance;Ø. Enhedslisten - De Rød-Grønne;1. Uden for partierne;Å. Alternativet;2. Uden for partierne;3. Uden for partierne;4. Uden for partierne;5. Uden for partierne;6. Uden for partierne
2015;185006;185006;12;1;1;8519;7044;49;27;6968;2176;209;143;-;309;18;349;2086;739;-;-;692;3;240;0;2;2;-;-
2015;187001;187001;18;2;1;3315;2732;14;15;2703;645;127;177;-;153;13;275;622;452;-;-;162;1;76;0;-;-;-;-
2015;187002;187002;18;2;1;3120;2837;25;20;2792;809;99;223;-;87;8;268;623;496;-;-;117;2;60;0;-;-;-;-
2015;187003;187003;18;2;1;3906;3472;22;9;3441;947;121;233;-;120;5;275;798;686;-;-;171;9;75;1;-;-;-;-
2015;190001;190001;25;3;1;7194;6404;43;20;6341;1661;571;401;-;247;23;699;892;1161;-;-;416;2;267;1;-;-;-;-
2015;190002;190002;25;3;1;2553;2408;12;5;2391;499;317;148;-;108;5;352;171;440;-;-;186;3;162;0;-;-;-;-
2015;190003;190003;25;3;1;3432;3222;22;9;3191;688;378;190;-;108;27;483;328;651;-;-;160;0;178;0;-;-;-;-
2015;190004;190004;25;3;1;904;833;6;0;827;236;77;39;-;50;3;83;86;117;-;-;80;0;56;0;-;-;-;-
2015;190005;190005;25;3;1;4148;3848;27;9;3812;865;320;257;-;136;10;529;431;833;-;-;270;1;160;0;-;-;-;-
2015;190006;190006;25;3;1;5542;5061;37;12;5012;1150;444;233;-;221;15;660;612;1049;-;-;340;1;287;0;-;-;-;-
2015;190007;190007;25;3;1;3616;2866;27;10;2829;824;126;66;-;148;10;220;495;407;-;-;350;3;180;0;-;-;-;-
2015;201001;201001;26;3;1;1912;1795;10;4;1781;372;155;126;-;81;10;232;252;396;-;-;74;0;83;0;-;-;-;-
2015;201002;201002;26;3;1;3584;3199;28;10;3161;799;238;214;-;139;15;349;521;513;-;-;230;1;141;1;-;-;-;-
2015;201003;201003;26;3;1;4156;3848;26;7;3815;856;370;316;-;196;11;430;508;778;-;-;192;0;158;0;-;-;-;-
2015;201004;201004;26;3;1;3702;3404;30;6;3368;701;191;186;-;129;10;385;654;826;-;-;173;0;112;1;-;-;-;-
2015;201005;201005;26;3;1;4108;3863;25;13;3825;722;333;329;-;119;26;616;453;970;-;-;129;0;128;0;-;-;-;-
2015;210001;210001;22;3;1;4499;3978;35;10;3933;871;203;225;-;117;32;529;727;849;-;-;202;0;178;0;-;-;-;-
2015;210002;210002;22;3;1;3385;3055;18;8;3029;518;241;222;-;104;17;502;415;718;-;-;130;1;161;0;-;-;-;-
2015;210003;210003;22;3;1;3498;3080;29;5;3046;608;288;183;-;126;7;381;439;617;-;-;192;2;201;2;-;-;-;-
2015;210004;210004;22;3;1;3524;3147;28;2;3117;705;276;134;-;178;8;306;591;480;-;-;251;1;187;0;-;-;-;-
2015;210005;210005;22;3;1;3235;2745;13;4;2728;599;199;160;-;116;7;325;426;545;-;-;218;3;128;2;-;-;-;-
2015;210006;210006;22;3;1;3411;2890;15;12;2863;593;148;162;-;94;24;289;655;670;-;-;158;1;69;0;-;-;-;-
2015;210007;210007;22;3;1;2895;2562;14;4;2544;572;144;117;-;134;7;227;543;490;-;-;189;1;120;0;-;-;-;-
2015;210008;210008;22;3;1;859;801;4;2;795;103;36;47;-;22;6;171;132;210;-;-;29;0;39;0;-;-;-;-
2015;210009;210009;22;3;1;2663;2245;13;2;2230;570;194;107;-;108;15;190;339;419;-;-;182;0;106;0;-;-;-;-
2015;217001;217001;21;3;1;9620;7811;62;32;7717;2082;367;441;-;393;31;606;1552;840;-;-;852;1;552;0;-;-;-;-
2015;217002;217002;21;3;1;7237;5818;45;23;5750;1895;176;231;-;257;24;303;1476;592;-;-;581;3;211;1;-;-;-;-
2015;217003;217003;21;3;1;5457;4386;22;18;4346;1143;193;227;-;206;15;321;1087;483;-;-;447;4;220;0;-;-;-;-
