"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct"
2015,"101030",9467,7650,0.1899346405,0.0852287582,0.017254902,0.0640522876,"6. Syd","København","6. Utterslev",0.0691413134,0.6142243147,63.93441415,0.057012375,-31205.369140625,312019.15625,452822
2005,"101031",4134.48,3560.82,0.22841368,0.1470335485,0.0866204975,0.1724153425,"7. Brønshøj","København","7. Brønshøj",0.0336767025,0.6737321615,83.96725559,0.469526825,906008.5625,482144.40625,756363
2007,"101031",3610,3207,0.2497661366,0.0788899283,0.0929217337,0.147178048,"7. Brønshøj","København","7. Brønshøj",0.0336767025,0.6737321615,83.9675534,0.469523346,906008.5625,482144.40625,756363
2011,"101031",3781,3380,0.2035502959,0.1417159763,0.0473372781,0.1565088757,"7. Brønshøj","København","7. Brønshøj",0.0336767025,0.6737321615,84.46013289,0.430533118,906008.5625,482144.40625,756363
2015,"101031",3851,3358,0.2477665277,0.0729600953,0.0357355569,0.1101846337,"7. Brønshøj","København","7. Brønshøj",0.0336767025,0.6737321615,84.46013289,0.430533118,906008.5625,482144.40625,756363
2005,"101032",2899,2119,0.3983010854,0.10523832,0.0311467673,0.0698442662,"7. Nord","København","7. Brønshøj",0.0713012516,0.5798087716,73.76920263,,4048.6740722656,283151.125,4281685
2007,"101032",2720,2024,0.3502964427,0.0365612648,0.0197628458,0.0543478261,"7. Nord","København","7. Brønshøj",0.0713012516,0.5798087716,73.76920263,,4048.6740722656,283151.125,4281685
2011,"101032",2360,1730,0.3473988439,0.0705202312,0.0144508671,0.0456647399,"7. Nord","København","7. Brønshøj",0.0713012516,0.5798087716,76.4852071,0,4048.6740722656,283151.125,4281685
2015,"101032",2270,1414,0.3429985856,0.031824611,0.0106082037,0.0381895332,"7. Nord","København","7. Brønshøj",0.0713012516,0.5798087716,76.4852071,0,4048.6740722656,283151.125,4281685
2005,"101033",5769.03,4853.5,0.2431647265,0.1633893067,0.0929700216,0.1658019986,"7. Syd","København","7. Brønshøj",0.0397727266,0.6354545355,78.50076743,0.225664126,356902.0625,415249.625,1256014
2007,"101033",6679,5792,0.2550069061,0.0839088398,0.0928867403,0.1336325967,"7. Syd","København","7. Brønshøj",0.0397727266,0.6354545355,78.5899592,0.226494921,356902.0625,415249.625,1256014
2011,"101033",6751,5966,0.2075092189,0.1498491452,0.0558162923,0.1429768689,"7. Syd","København","7. Brønshøj",0.0397727266,0.6354545355,78.20458851,0.215187211,356902.0625,415249.625,1256014
2015,"101033",7103,6131,0.2340564345,0.0872614582,0.0275648344,0.0963953678,"7. Syd","København","7. Brønshøj",0.0397727266,0.6354545355,78.20458851,0.215187211,356902.0625,415249.625,1256014
2005,"101034",8435.17,7031.52,0.2601485881,0.135317826,0.0763803559,0.1501979657,"7. Øst","København","7. Brønshøj",0.0415938944,0.6193584204,81.31369887,0.284288008,662210.0625,432909.46875,8718867
2007,"101034",7715,6593,0.2746852723,0.068102533,0.0796299105,0.1298346731,"7. Øst","København","7. Brønshøj",0.0415938944,0.6193584204,81.31386141,0.284289493,662210.0625,432909.46875,8718867
2011,"101034",7650,6600,0.2181818182,0.1406060606,0.0416666667,0.1316666667,"7. Øst","København","7. Brønshøj",0.0415938944,0.6193584204,84.07830648,0.300561798,662210.0625,432909.46875,8718867
2015,"101034",7837,6675,0.2546816479,0.0746067416,0.023670412,0.0825468165,"7. Øst","København","7. Brønshøj",0.0415938944,0.6193584204,84.07830648,0.300561798,662210.0625,432909.46875,8718867
2005,"101035",6305,4823,0.2842629069,0.1078167116,0.0686294837,0.1405764047,"7. Vest","København","7. Brønshøj",0.0518683456,0.554312408,66.82749437,0.21368572,450580.125,359668.6875,539352
2007,"101035",6154,4844,0.2933526012,0.0545004129,0.0718414533,0.1187035508,"7. Vest","København","7. Brønshøj",0.0518683456,0.554312408,66.82749437,0.21368572,450580.125,359668.6875,539352
2011,"101035",6081,4813,0.2541034698,0.1088718055,0.0361520881,0.1344275919,"7. Vest","København","7. Brønshøj",0.0518683456,0.554312408,69.19563876,0.22773092,450580.125,359668.6875,539352
2015,"101035",6032,4534,0.2699603,0.0617556242,0.0244816939,0.081826202,"7. Vest","København","7. Brønshøj",0.0518683456,0.554312408,69.19563876,0.22773092,450580.125,359668.6875,539352
2005,"101036",8010,6587,0.2814634887,0.1064217398,0.0680127524,0.1660847123,"7. Nordvest","København","7. Brønshøj",0.0403480306,0.6173474193,85.07122233,0.414051973,857173.25,464637.59375,742832
2007,"101036",7800,6650,0.2809022556,0.0572932331,0.0784962406,0.1338345865,"7. Nordvest","København","7. Brønshøj",0.0403480306,0.6173474193,85.06940868,0.41413924,857173.25,464637.59375,742832
