year;valgstedid;voters;votes;a;b;c;v;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct
2005;846004;2791;2310;.4181818181818182;.0502164502164502;.0653679653679654;.2995670995670996;Arden;Mariagerfjord;6. Mariagerfjord;.0386673808097839;.5504415035247803;119.789916;.657262905;786602.6875;432268.09375;1350638
2007;846004;2771;2333;.335190741534505;.0415773681954565;.1067295327903986;.261894556365195;Arden;Mariagerfjord;6. Mariagerfjord;.0386673808097839;.5504415035247803;119.789916;.657262905;786602.6875;432268.09375;1350638
2011;846004;2818;2349;.340144742443593;.0570455512984249;.0438484461472967;.2720306513409962;Arden;Mariagerfjord;6. Mariagerfjord;.0386673808097839;.5504415035247803;121.4875073;.649071926;786602.6875;432268.09375;1350638
2015;846004;2876;2422;.3455821635012387;.02766308835673;.0222956234516928;.2171758876961189;Arden;Mariagerfjord;6. Mariagerfjord;.0386673808097839;.5504415035247803;121.4875073;.649071926;786602.6875;432268.09375;1350638
2005;846008;1526;1316;.2743161094224924;.0486322188449848;.0828267477203647;.3882978723404255;Valsgaard;Mariagerfjord;6. Mariagerfjord;.0385934822261333;.6213550567626953;137.8047337;.802366864;1015819.0625;523256.21875;1415109
2007;846008;1579;1406;.2318634423897582;.0334281650071124;.112375533428165;.3413940256045519;Valsgaard;Mariagerfjord;6. Mariagerfjord;.0385934822261333;.6213550567626953;137.8047337;.802366864;1015819.0625;523256.21875;1415109
2011;846008;1614;1411;.2466335931963147;.0595322466335932;.0439404677533664;.3543586109142452;Valsgaard;Mariagerfjord;6. Mariagerfjord;.0385934822261333;.6213550567626953;141.1620112;.783482143;1015819.0625;523256.21875;1415109
2015;846008;1646;1411;.2437987243090007;.0269312544294826;.0191353649893692;.2898653437278526;Valsgaard;Mariagerfjord;6. Mariagerfjord;.0385934822261333;.6213550567626953;141.1620112;.783482143;1015819.0625;523256.21875;1415109
2005;846009;1796;1462;.2818057455540356;.0437756497948016;.0861833105335157;.378248974008208;Vebbestrup;Mariagerfjord;6. Mariagerfjord;.049663633108139;.6086268424987793;133.28;.8040000000000001;1064102.875;514188.15625;2093166
2007;846009;1825;1526;.2352555701179555;.0262123197903014;.1061598951507208;.3604193971166448;Vebbestrup;Mariagerfjord;6. Mariagerfjord;.049663633108139;.6086268424987793;133.28;.8040000000000001;1064102.875;514188.15625;2093166
2011;846009;1822;1518;.2345191040843215;.0500658761528327;.0480895915678524;.3168642951251647;Vebbestrup;Mariagerfjord;6. Mariagerfjord;.049663633108139;.6086268424987793;138.5968379;.802955665;1064102.875;514188.15625;2093166
2015;846009;1789;1495;.2267558528428094;.0220735785953177;.0080267558528428;.2722408026755853;Vebbestrup;Mariagerfjord;6. Mariagerfjord;.049663633108139;.6086268424987793;138.5968379;.802955665;1064102.875;514188.15625;2093166
2005;846011;5286;4408;.3210072595281307;.0583030852994555;.1086660617059891;.3064882032667877;Hadsund;Mariagerfjord;6. Mariagerfjord;.0443915091454983;.5199941992759705;116.472;.6432;723700.25;435480.9375;2082896
2007;846011;5356;4535;.2954796030871003;.0348401323042999;.160529217199559;.2390297684674752;Hadsund;Mariagerfjord;6. Mariagerfjord;.0443915091454983;.5199941992759705;116.472;.6432;723700.25;435480.9375;2082896
2011;846011;5329;4609;.3406378824039922;.054458667823823;.0514211325667173;.2720763723150358;Hadsund;Mariagerfjord;6. Mariagerfjord;.0443915091454983;.5199941992759705;117.2734255;.6224333440000001;723700.25;435480.9375;2082896
2015;846011;5252;4420;.3330316742081448;.0205882352941176;.0169683257918552;.2334841628959276;Hadsund;Mariagerfjord;6. Mariagerfjord;.0443915091454983;.5199941992759705;117.2734255;.6224333440000001;723700.25;435480.9375;2082896
2005;846014;1000;806;.3684863523573201;.0558312655086849;.086848635235732;.3225806451612903;Veddum-Skelund;Mariagerfjord;6. Mariagerfjord;.0599095709621906;.5448379516601563;;.766256591;762496.625;437439.09375;1259457
2007;846014;1005;819;.3284493284493285;.0378510378510378;.1086691086691087;.2673992673992674;Veddum-Skelund;Mariagerfjord;6. Mariagerfjord;.0599095709621906;.5448379516601563;;.766256591;762496.625;437439.09375;1259457
2011;846014;915;773;.3764553686934024;.0401034928848642;.0323415265200517;.2263906856403622;Veddum-Skelund;Mariagerfjord;6. Mariagerfjord;.0599095709621906;.5448379516601563;132.4732143;.736185383;762496.625;437439.09375;1259457
