"Afstemningsområde","Opstillingskreds","Storkreds","Landsdel","Filnavn","Stemmeberettigede","IAltGyldigeStemmer","BlankeStemmer","AndreUgyldigeStemmer","IAltAfgivneStemmer","A","B","C","F","I","K","O","V","Ø","Å","UdenForParti","adrstring","lat","lon","zip","muninum","area","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
"Hollænderhallen","12. Tårnby","Københavns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494694.xml",6311,5624,37,18,5679,1213,268,281,165,588,8,1368,1245,260,220,8,"Hollænderhallen, Tårnby, Denmark",55.6255,12.5948,2770,185,"2770 Kastrup",10.9253,20.4974,26.3336,10.9253,0,20.4974,0
"Jægersborg","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494701.xml",5342,4815,32,15,4862,816,372,559,138,934,12,437,1131,219,196,1,"Jægersborg, Gentofte, Denmark",55.7632,12.5438,2820,157,"2820 Gentofte",10.026,17.0388,24.6729,10.026,0,17.0388,0
"Munkegård","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494702.xml",4433,3948,32,15,3995,916,368,267,199,411,13,530,673,314,255,2,"Munkegård, Gentofte, Denmark",55.7331,12.5244,2870,157,"2870 Dyssegård",6.84854,5.37064,32.5228,6.84854,0,5.37064,0
"Rådhuset","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494703.xml",5201,4396,23,7,4426,767,457,490,147,779,12,394,941,185,221,3,"Rådhuset, Gentofte, Denmark",55.7494,12.5685,2920,157,"2920 Charlottenlund",-3.11871,11.185,27.8435,0,3.11871,11.185,0
"Bakkegård","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494704.xml",5277,4355,43,17,4415,963,316,335,177,527,20,725,696,337,259,0,"Bakkegård, Gentofte, Denmark",55.7429,12.529,2820,157,"2820 Gentofte",10.026,17.0388,29.3685,10.026,0,17.0388,0
"Dyssegård","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494705.xml",5017,4514,31,5,4550,832,538,447,170,704,9,476,845,242,248,3,"Dyssegård, Gentofte, Denmark",55.7331,12.527,2870,157,"2870 Dyssegård",6.84854,5.37064,30.35,6.84854,0,5.37064,0
"Maglegård","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494706.xml",5617,5140,24,10,5174,798,518,587,134,984,6,422,1218,208,262,3,"Maglegård, Gentofte, Denmark",55.7267,12.5123,2860,159,"2860 Søborg",19.1518,18.6116,25.6031,19.1518,0,18.6116,0
"Hellerup","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494707.xml",6029,5382,31,20,5433,917,479,461,171,1013,23,494,1171,299,350,4,"Hellerup, Gentofte, Denmark",55.7367,12.5692,2900,157,"2900 Hellerup",10.2536,17.2581,25.9383,10.2536,0,17.2581,0
"Ordrup","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494708.xml",4394,3925,23,2,3950,617,327,415,123,741,16,407,893,191,194,1,"Ordrup, Gentofte, Denmark",55.7631,12.5794,2920,157,"2920 Charlottenlund",-3.11871,11.185,24.051,0,3.11871,11.185,0
"Skovshoved","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494709.xml",5019,4501,23,10,4534,619,392,499,93,1023,12,358,1108,185,209,3,"Skovshoved, Gentofte, Denmark",55.7616,12.5953,2920,157,"2920 Charlottenlund",-3.11871,11.185,22.4617,0,3.11871,11.185,0
"Skovgård","1. Gentofte","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494710.xml",4586,4043,22,7,4072,605,316,493,100,760,12,479,924,147,205,2,"Skovgård, Gentofte, Denmark",55.7655,12.5697,2920,157,"2920 Charlottenlund",-3.11871,11.185,22.7801,0,3.11871,11.185,0
"Bagsværd","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494721.xml",4801,4096,35,13,4144,1101,328,205,211,421,26,560,647,354,243,0,"Bagsværd, Gladsaxe, Denmark",55.7653,12.4572,2880,159,"2880 Bagsværd",11.2501,15.3226,34.8877,11.2501,0,15.3226,0
"Hovedbiblioteket","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494722.xml",6226,5196,65,17,5278,1595,313,147,286,338,20,968,671,545,311,2,"Hovedbiblioteket, Gladsaxe, Denmark",55.7422,12.4981,2860,159,"2860 Søborg",19.1518,18.6116,36.7206,19.1518,0,18.6116,0
"Egegård","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494723.xml",5899,4885,37,17,4939,1452,236,133,237,330,18,1079,722,476,194,8,"Egegård, Gladsaxe, Denmark",55.745,12.4659,2860,159,"2860 Søborg",19.1518,18.6116,34.5548,19.1518,0,18.6116,0
"Grønnemose","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494724.xml",6360,5332,50,13,5395,1658,369,118,325,305,36,882,569,688,371,11,"Grønnemose, Gladsaxe, Denmark",55.7226,12.5227,2400,101,"2400 København NV",22.3185,38.0497,38.0158,22.3185,0,38.0497,0
"Mørkhøj","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494725.xml",6273,5227,52,13,5292,1694,269,118,272,351,16,1122,636,547,198,4,"Mørkhøj, Gladsaxe, Denmark",55.7263,12.4604,2860,159,"2860 Søborg",19.1518,18.6116,37.555,19.1518,0,18.6116,0
"Stengård","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494726.xml",6097,5419,52,8,5479,1605,483,207,306,521,27,655,813,438,362,2,"Stengård, Gladsaxe, Denmark",55.7544,12.4833,2800,159,"2800 Kongens Lyngby",12.0759,21.7922,38.5311,12.0759,0,21.7922,0
"Søborg","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494727.xml",3773,3310,29,3,3342,941,269,107,216,251,15,511,415,330,251,4,"Søborg, Gladsaxe, Denmark",55.7335,12.4887,2860,159,"2860 Søborg",19.1518,18.6116,36.5559,19.1518,0,18.6116,0
"Vadgård","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494728.xml",4455,3768,22,6,3796,1100,223,119,170,322,22,744,600,301,165,2,"Vadgård, Gladsaxe, Denmark",55.7486,12.4902,2860,159,"2860 Søborg",19.1518,18.6116,35.1115,19.1518,0,18.6116,0
"Værebro","3. Gladsaxe","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494729.xml",2377,1830,10,8,1848,483,142,71,104,158,6,296,260,216,92,2,"Værebro, Gladsaxe, Denmark",55.7563,12.4309,2880,159,"2880 Bagsværd",11.2501,15.3226,34.153,11.2501,0,15.3226,0
"Nordvangskolen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494788.xml",2286,2049,19,4,2072,637,76,62,84,145,6,490,373,121,53,2,"Nordvangskolen, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,34.7975,17.797,0,13.4203,0
"Sognegården","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494789.xml",2520,2064,22,3,2089,572,89,64,76,145,6,532,339,144,90,7,"Sognegården, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,32.0252,17.797,0,13.4203,0
"Søndervangskolen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494790.xml",4194,3344,26,10,3380,1064,94,86,119,221,18,915,438,261,118,10,"Søndervangskolen, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,34.6292,17.797,0,13.4203,0
"Vestervangskolen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494791.xml",3041,2427,15,14,2456,945,62,23,97,86,4,720,182,236,64,8,"Vestervangskolen, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,41.4916,17.797,0,13.4203,0
"Ejbyskolen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494792.xml",1452,1331,14,2,1347,279,53,41,38,122,6,295,410,55,32,0,"Ejbyskolen, Ballerup, Denmark",55.7245,12.3548,2750,151,"2750 Ballerup",17.797,13.4203,24.9437,17.797,0,13.4203,0
"Hvissingehallen","8. Ballerup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494793.xml",2638,2243,9,6,2258,712,50,58,91,140,7,607,346,165,65,2,"Hvissingehallen, Ballerup, Denmark",55.6831,12.4133,2600,161,"2600 Glostrup",2.73454,6.87742,33.9724,2.73454,0,6.87742,0
"Herlev Medborgerhus","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494730.xml",6963,5681,68,17,5766,1992,191,162,257,291,37,1368,585,572,221,5,"Herlev Medborgerhus, Rødovre, Denmark",55.6735,12.4657,2610,175,"2610 Rødovre",13.1248,18.7557,38.4263,13.1248,0,18.7557,0
"Herlev Hallerne","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494731.xml",6298,5652,37,11,5700,2005,203,217,246,349,67,1117,890,393,159,6,"Herlev Hallerne, Rødovre, Denmark",55.6735,12.4657,2610,175,"2610 Rødovre",13.1248,18.7557,39.0658,13.1248,0,18.7557,0
"Kildegårdhallen","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494732.xml",6487,5280,61,9,5350,1613,210,161,312,308,37,1142,619,604,270,4,"Kildegårdhallen, Rødovre, Denmark",55.6735,12.4657,2610,175,"2610 Rødovre",13.1248,18.7557,34.5265,13.1248,0,18.7557,0
"Herstedøster Skole","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494760.xml",4457,3773,45,20,3838,1036,133,116,247,188,18,729,382,663,258,3,"Herstedøster Skole, Taastrup, Denmark",55.6661,12.3959,2600,161,"2600 Glostrup",2.73454,6.87742,30.9833,2.73454,0,6.87742,0
"Egelundskolen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494761.xml",3218,2805,21,16,2842,925,106,82,189,119,8,617,309,327,116,7,"Egelundskolen, Taastrup, Denmark",55.646,12.2979,2630,169,"2630 Taastrup",6.42223,12.2625,36.7558,6.42223,0,12.2625,0
"Herstedlund Skole","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494762.xml",3077,2374,18,21,2413,740,146,33,225,82,10,524,168,313,122,11,"Herstedlund Skole, Taastrup, Denmark",55.646,12.2979,2630,169,"2630 Taastrup",6.42223,12.2625,37.321,6.42223,0,12.2625,0
"Musikteatret","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494763.xml",3267,2509,24,22,2555,899,74,39,188,55,9,645,128,370,92,10,"Musikteatret, Taastrup, Denmark",55.646,12.2979,2630,169,"2630 Taastrup",6.42223,12.2625,38.7804,6.42223,0,12.2625,0
"Herstedvester Skole","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494764.xml",4282,3546,27,20,3593,1236,179,69,249,153,18,601,287,528,218,8,"Herstedvester Skole, Taastrup, Denmark",55.645,12.3035,2630,169,"2630 Taastrup",6.42223,12.2625,39.9041,6.42223,0,12.2625,0
"Holmegårdshallen","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494739.xml",4021,3452,30,4,3486,966,163,113,207,233,17,772,449,316,206,10,"Holmegårdshallen, Hvidovre, Denmark",55.6425,12.4754,2650,167,"2650 Hvidovre",12.0615,25.2853,32.7057,12.0615,0,25.2853,0
"Præstemoseskolen","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494740.xml",3277,2733,16,4,2753,870,91,61,135,165,10,738,333,232,86,12,"Præstemoseskolen, Hvidovre, Denmark",55.6545,12.4664,2650,167,"2650 Hvidovre",12.0615,25.2853,35.1628,12.0615,0,25.2853,0
"Sønderkærskolen","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494741.xml",4345,3515,37,10,3562,1170,94,67,193,171,8,932,366,369,131,14,"Sønderkærskolen, Hvidovre, Denmark",55.6484,12.4754,2650,167,"2650 Hvidovre",12.0615,25.2853,35.9602,12.0615,0,25.2853,0
"Medborgerhuset","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494742.xml",4629,3863,30,11,3904,1279,140,78,224,197,11,977,418,393,143,3,"Medborgerhuset, Hvidovre, Denmark",55.6425,12.4754,2650,167,"2650 Hvidovre",12.0615,25.2853,36.7331,12.0615,0,25.2853,0
"Dansborghallen","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494743.xml",5085,4381,37,9,4427,1333,187,107,212,308,33,1014,629,375,182,1,"Dansborghallen, Hvidovre, Denmark",55.6311,12.4832,2650,167,"2650 Hvidovre",12.0615,25.2853,34.6953,12.0615,0,25.2853,0
"Frihedens Idrætscenter","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494744.xml",5182,4356,37,7,4400,1575,151,103,182,229,12,1056,527,364,149,8,"Frihedens Idrætscenter, Hvidovre, Denmark",55.6425,12.4754,2650,167,"2650 Hvidovre",12.0615,25.2853,39.6235,12.0615,0,25.2853,0
"Avedøre Skole","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494745.xml",5575,4698,31,4,4733,1509,144,127,209,279,29,1257,675,326,119,24,"Avedøre Skole, Hvidovre, Denmark",55.6331,12.4568,2650,167,"2650 Hvidovre",12.0615,25.2853,35.1852,12.0615,0,25.2853,0
"Avedøre Idrætscenter","5. Hvidovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494746.xml",4684,3592,35,4,3631,1036,142,74,188,156,16,1018,355,452,116,39,"Avedøre Idrætscenter, Hvidovre, Denmark",55.6275,12.4455,2650,167,"2650 Hvidovre",12.0615,25.2853,32.7951,12.0615,0,25.2853,0
"Selsmoseskolen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494765.xml",2388,1709,15,10,1734,488,47,80,89,120,8,433,199,164,79,2,"Selsmoseskolen, Taastrup, Denmark",55.6548,12.2951,2630,169,"2630 Taastrup",6.42223,12.2625,31.3049,6.42223,0,12.2625,0
"Parkskolen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494766.xml",3260,2728,31,4,2763,832,116,164,98,144,10,622,415,218,100,9,"Parkskolen, Taastrup, Denmark",55.6517,12.3138,2630,169,"2630 Taastrup",6.42223,12.2625,34.7507,6.42223,0,12.2625,0
"Mølleholmskolen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494767.xml",2467,2177,19,6,2202,589,81,162,79,170,11,513,391,129,48,4,"Mølleholmskolen, Taastrup, Denmark",55.6417,12.3233,2630,169,"2630 Taastrup",6.42223,12.2625,30.7763,6.42223,0,12.2625,0
"Taastrup Kulturcenter","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494768.xml",2120,1807,20,4,1831,567,57,106,68,104,5,469,296,89,44,2,"Taastrup Kulturcenter, Taastrup, Denmark",55.6459,12.3086,2630,169,"2630 Taastrup",6.42223,12.2625,34.5324,6.42223,0,12.2625,0
"Borgerskolen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494769.xml",1606,1439,8,4,1451,472,28,80,66,72,5,329,235,99,52,1,"Borgerskolen, Taastrup, Denmark",55.6434,12.2984,2630,169,"2630 Taastrup",6.42223,12.2625,34.7464,6.42223,0,12.2625,0
"Gadehaveskolen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494770.xml",4135,3104,27,18,3149,862,172,145,213,190,14,695,382,301,121,9,"Gadehaveskolen, Taastrup, Denmark",55.652,12.2689,2630,169,"2630 Taastrup",6.42223,12.2625,33.3119,6.42223,0,12.2625,0
"Rønnevangshallen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494771.xml",3184,2630,36,9,2675,899,51,90,108,136,9,724,344,180,89,0,"Rønnevangshallen, Taastrup, Denmark",55.646,12.2979,2630,169,"2630 Taastrup",6.42223,12.2625,36.1217,6.42223,0,12.2625,0
"Torstorp Skole","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494772.xml",2769,2274,23,9,2306,672,75,83,129,132,12,623,276,195,74,3,"Torstorp Skole, Taastrup, Denmark",55.6381,12.2739,2630,169,"2630 Taastrup",6.42223,12.2625,32.8496,6.42223,0,12.2625,0
"Sengeløse","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494773.xml",1881,1641,13,1,1655,368,65,88,40,128,10,426,344,105,66,1,"Sengeløse, Taastrup, Denmark",55.6818,12.2468,2630,169,"2630 Taastrup",6.42223,12.2625,26.3863,6.42223,0,12.2625,0
"Charlotteskolen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494774.xml",1881,1365,16,10,1391,405,46,55,79,41,6,390,211,94,35,3,"Charlotteskolen, Taastrup, Denmark",55.646,12.2979,2630,169,"2630 Taastrup",6.42223,12.2625,33.0403,6.42223,0,12.2625,0
"Fritidscentret Hedehuset","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494775.xml",3427,2880,30,10,2920,815,91,101,92,175,8,855,471,190,81,1,"Fritidscentret Hedehuset, Taastrup, Denmark",55.646,12.2979,2630,169,"2630 Taastrup",6.42223,12.2625,31.4583,6.42223,0,12.2625,0
"Fløng Hallen","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494776.xml",2996,2689,27,4,2720,760,95,156,100,168,11,702,479,123,94,1,"Fløng Hallen, Taastrup, Denmark",55.646,12.2979,2630,169,"2630 Taastrup",6.42223,12.2625,31.7962,6.42223,0,12.2625,0
"Reerslev Skole","7. Taastrup","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494777.xml",612,564,3,0,567,131,26,35,20,49,0,138,109,29,27,0,"Reerslev Skole, Taastrup, Denmark",55.6194,12.1873,2640,169,"2640 Hedehusene",3.83913,3.46138,27.8369,3.83913,0,3.46138,0
"Lyngby Midt","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494711.xml",4773,3993,39,13,4045,927,305,245,166,486,19,559,747,277,255,7,"Lyngby Midt, Lyngby, Denmark",55.7635,12.4949,2800,173,"2800 Kongens Lyngby",12.0759,21.7922,30.854,12.0759,0,21.7922,0
"Lindegård","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494712.xml",4306,3619,32,17,3668,1060,213,141,192,319,21,667,477,316,210,3,"Lindegård, Lyngby, Denmark",55.7568,12.5691,2920,157,"2920 Charlottenlund",-3.11871,11.185,35.1755,0,3.11871,11.185,0
"Trongård","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494713.xml",4639,3938,50,10,3998,787,307,263,164,653,17,480,720,305,235,7,"Trongård, Lyngby, Denmark",55.7771,12.5364,2800,173,"2800 Kongens Lyngby",12.0759,21.7922,27.7806,12.0759,0,21.7922,0
"Engelsborg","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494714.xml",4983,4417,40,12,4469,969,391,275,176,649,15,562,912,239,229,0,"Engelsborg, Lyngby, Denmark",55.7664,12.4939,2800,173,"2800 Kongens Lyngby",12.0759,21.7922,30.7901,12.0759,0,21.7922,0
"Taarbæk","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494715.xml",1100,1012,5,8,1025,221,103,78,39,159,1,74,192,62,82,1,"Taarbæk, Lyngby, Denmark",55.7635,12.4949,2800,173,"2800 Kongens Lyngby",12.0759,21.7922,32.0158,12.0759,0,21.7922,0
"Virum","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494716.xml",4741,4405,26,6,4437,837,486,467,159,716,14,331,975,191,229,0,"Virum, Lyngby, Denmark",55.7946,12.4618,2830,173,"2830 Virum",11.3206,17.0992,30.0341,11.3206,0,17.0992,0
"Hummeltofte","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494717.xml",3500,3228,20,4,3252,772,374,251,159,370,15,324,627,177,158,1,"Hummeltofte, Lyngby, Denmark",55.782,12.4672,2830,173,"2830 Virum",11.3206,17.0992,35.5019,11.3206,0,17.0992,0
"Fuglsanggård","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494718.xml",3852,3355,31,7,3393,830,279,207,164,332,9,502,602,247,181,2,"Fuglsanggård, Lyngby, Denmark",55.7907,12.4819,2830,173,"2830 Virum",11.3206,17.0992,33.0551,11.3206,0,17.0992,0
"Kongevej","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494719.xml",2165,2024,17,3,2044,497,274,141,110,191,9,182,350,131,139,0,"Kongevej, Lyngby, Denmark",55.7852,12.5578,2930,173,"2930 Klampenborg",15.2313,NaN,38.0929,15.2313,0,NA,NA
"Lundtofte","2. Lyngby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494720.xml",4488,3874,25,6,3905,1004,316,292,221,364,13,507,629,290,238,0,"Lundtofte, Lyngby, Denmark",55.7947,12.5162,2800,173,"2800 Kongens Lyngby",12.0759,21.7922,34.0733,12.0759,0,21.7922,0
"Ørbygård","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494733.xml",3125,2711,16,5,2732,813,145,87,134,183,18,543,390,262,133,3,"Ørbygård, Rødovre, Denmark",55.6718,12.4644,2610,175,"2610 Rødovre",13.1248,18.7557,35.3375,13.1248,0,18.7557,0
"Rødovre","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494734.xml",5772,4885,31,23,4939,1591,228,146,282,317,35,977,598,464,246,1,"Rødovre, Rødovre, Denmark",55.6735,12.4657,2610,175,"2610 Rødovre",13.1248,18.7557,37.2364,13.1248,0,18.7557,0
"Valhøj","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494735.xml",3733,2844,35,26,2905,1071,82,47,142,111,9,665,247,338,123,9,"Valhøj, Rødovre, Denmark",55.6667,12.4667,2610,175,"2610 Rødovre",13.1248,18.7557,40.5415,13.1248,0,18.7557,0
"Rødovrehallen","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494736.xml",6206,5149,45,21,5215,1767,207,119,278,259,22,1215,571,521,187,3,"Rødovrehallen, Rødovre, Denmark",55.6799,12.4414,2610,175,"2610 Rødovre",13.1248,18.7557,38.3375,13.1248,0,18.7557,0
"Tinderhøj","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494737.xml",4183,3471,32,7,3510,1225,98,100,194,173,18,835,395,299,130,4,"Tinderhøj, Rødovre, Denmark",55.6939,12.4441,2610,175,"2610 Rødovre",13.1248,18.7557,38.1158,13.1248,0,18.7557,0
"Islev","4. Rødovre","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494738.xml",3954,3388,29,9,3426,1123,124,112,122,193,25,804,470,288,122,5,"Islev, Rødovre, Denmark",55.6978,12.4605,2610,175,"2610 Rødovre",13.1248,18.7557,36.8064,13.1248,0,18.7557,0
"Ishøj Landsby","6. Brøndby","Københavns Omegns Storkreds","Hovedstaden","http://www.dst.dk/valg/Valg1487635/xml/fintal_1494752.xml",1263,1116,8,2,1126,278,53,38,43,106,7,276,225,49,40,1,"Ishøj Landsby, Brøndby, Denmark",55.6367,12.3654,2625,187,"2625 Vallensbæk",13.1369,9.82357,29.6595,13.1369,0,9.82357,0
