year;valgstedId;voters;votes;a;b;c;v;inc_support
2001;350012;2304;2099;549;120;153;836;0,318723202
2001;360001;742,33;664,23;194,77;12,86;60,64;225,09;0,312587507
2001;360003;2512,67;2180,77;896,23;47,14;154,36;579,91;0,432585738
2001;360008;1064;900;295;34;75;235;0,365555556
2001;360011;2015;1721;649;39;115;493;0,399767577
2001;360013;5312;4610;1751;143;410;1251;0,410845987
2001;360014;65;62;9;0;5;15;0,14516129
2001;360019;3243;2785;941;74;188;797;0,364452424
2001;360020;8062,43;6609,97;2942,37;170,02;445,05;1145,46;0,470862954
2001;360021;4715,57;4049,03;1643,63;99,98;297,95;850,54;0,430624125
2001;360026;582;495;165;17;41;140;0,367676768
2001;360027;506;430;105;23;39;121;0,297674419
2001;360028;148;126;35;0;9;49;0,277777778
2001;360029;2194;1829;690;55;120;477;0,407326408
2001;360035;2806;2405;812;53;174;700;0,35966736
2001;360036;3534;3049;934;79;222;1091;0,332240079
2001;360037;1631;1339;505;42;89;303;0,408513816
2001;370001;3216;2763;750;139;315;870;0,321751719
2001;370002;841;756;176;28;68;290;0,26984127
2001;370003;1582;1339;368;47;127;458;0,309932786
2001;370004;1570;1399;329;60;190;548;0,278055754
2001;370005;761;698;192;24;62;253;0,309455587
2001;370006;1871;1615;407;41;151;627;0,277399381
2001;370007;1230;1083;241;43;81;469;0,262234534
2001;370008;3014;2691;1004;96;373;695;0,408769974
2001;370009;1009;920;305;24;116;273;0,357608696
2001;370010;1121;984;295;26;109;325;0,326219512
2001;370011;2127;1893;667;55;172;551;0,381405177
2001;370012;436;385;98;14;24;140;0,290909091
2001;370013;520;451;107;18;50;172;0,277161863
2001;370014;2265;1975;668;51;185;622;0,364050633
2001;370020;3325;2920;966;96;467;799;0,36369863
2001;370021;2892;2403;737;106;414;615;0,350811486
2001;370022;4169;3464;1367;115;388;696;0,427829099
2001;370023;4729;4046;1385;162;582;979;0,382352941
2001;370024;4767;4197;1504;154;567;1026;0,395044079
2001;370025;2745;2408;936;80;289;540;0,42192691
2001;370026;2820;2527;679;99;511;766;0,307874951
2001;370027;2986;2615;762;97;435;749;0,328489484
2001;370028;3961;3152;1214;103;393;711;0,417829949
2001;370029;620;574;182;14;78;153;0,341463415
2001;370031;1454;1287;349;34;151;476;0,297591298
2001;370032;1774;1625;406;63;236;531;0,288615385
