"","valgstedid","vsnavn","kredsnavn","adrstring","lon","lat","zip","muninum"
"950",707004,"Grenaa Idrætscenter","5. Djurs","Grenaa Idrætscenter,  Djurs, Denmark",NA,NA,NA,NA
"951",707005,"Glesborg","5. Djurs","Glesborg,  Djurs, Denmark",10.6845802,56.4436757,8586,707
"952",707006,"Ørum","5. Djurs","Ørum,  Djurs, Denmark",10.6799094,56.4419863,8586,707
"953",707007,"Ørsted","5. Djurs","Ørsted,  Djurs, Denmark",10.3316496,56.501231,8950,707
"954",707008,"Allingåbro","5. Djurs","Allingåbro,  Djurs, Denmark",10.308321,56.449197,8961,707
"955",707009,"Auning","5. Djurs","Auning,  Djurs, Denmark",10.376553,56.430596,8963,707
"956",707010,"Vivild","5. Djurs","Vivild,  Djurs, Denmark",NA,NA,NA,NA
"957",710001,"Hadsten Nord","8. Favrskov","Hadsten Nord,  Favrskov, Denmark",10.047763,56.329953,8370,710
"958",710002,"Hadsten Syd","8. Favrskov","Hadsten Syd,  Favrskov, Denmark",10.047763,56.329953,8370,710
"959",710003,"Hadbjerg","8. Favrskov","Hadbjerg,  Favrskov, Denmark",10.1032402,56.3307157,8370,710
"960",710004,"Hammel Nord","8. Favrskov","Hammel Nord,  Favrskov, Denmark",9.864757,56.256349,8450,710
"961",710005,"Hammel Syd","8. Favrskov","Hammel Syd,  Favrskov, Denmark",9.864757,56.256349,8450,710
"962",710006,"Haldum-Hinnerup/Vitten","8. Favrskov","Haldum-Hinnerup/Vitten,  Favrskov, Denmark",10.0133331,56.2865347,8382,710
"963",710007,"Rønbæk/Grundfør","8. Favrskov","Rønbæk/Grundfør,  Favrskov, Denmark",10.0935605,56.2530246,8382,710
"964",710008,"Foldby","8. Favrskov","Foldby,  Favrskov, Denmark",10.023228,56.252251,8382,710
"965",710009,"Ulstrup","8. Favrskov","Ulstrup,  Favrskov, Denmark",9.791858,56.388841,8860,710
"966",710010,"Thorsø/Haurum/Sall","8. Favrskov","Thorsø/Haurum/Sall,  Favrskov, Denmark",9.8352921,56.2672096,8450,710
"967",710011,"Laurbjerg/Houlbjerg","8. Favrskov","Laurbjerg/Houlbjerg,  Favrskov, Denmark",9.872512,56.344044,8870,710
"968",710012,"Søften","8. Favrskov","Søften,  Favrskov, Denmark",10.084304,56.237113,8382,710
"969",710013,"Voldum","8. Favrskov","Voldum,  Favrskov, Denmark",10.171556,56.365735,8370,710
"970",710014,"Lading","8. Favrskov","Lading,  Favrskov, Denmark",9.979747,56.220504,8471,710
"971",727001,"Odder","9. Skanderborg","Odder,  Skanderborg, Denmark",9.9297989,56.037247,8660,746
"972",727002,"Torrild","9. Skanderborg","Torrild,  Skanderborg, Denmark",10.0241003,55.987648,8660,746
"973",727003,"Saksild - Nølev","9. Skanderborg","Saksild - Nølev,  Skanderborg, Denmark",9.9297989,56.037247,8660,746
"974",727004,"Randlev - Bjerager","9. Skanderborg","Randlev - Bjerager,  Skanderborg, Denmark",9.9297989,56.037247,8660,746
"975",727005,"Hou, Gosmer - Halling","9. Skanderborg","Hou, Gosmer - Halling,  Skanderborg, Denmark",9.9297989,56.037247,8660,746
"976",727006,"Gylling","9. Skanderborg","Gylling,  Skanderborg, Denmark",9.9297989,56.037247,8660,746
"977",727007,"Ørting-Falling","9. Skanderborg","Ørting-Falling,  Skanderborg, Denmark",9.9297989,56.037247,8660,746
"978",727008,"Hundslund","9. Skanderborg","Hundslund,  Skanderborg, Denmark",10.05298,55.914335,8350,727
"979",727009,"Alrø","9. Skanderborg","Alrø,  Skanderborg, Denmark",9.9297989,56.037247,8660,746
"980",727010,"Tunø","9. Skanderborg","Tunø,  Skanderborg, Denmark",9.9511815,56.1620062,8464,746
"981",730001,"Kulturhuset Langå","7. Randers Syd","Kulturhuset Langå,  Randers Syd, Denmark",NA,NA,NA,NA
"982",730002,"Stevnstrup Forsamlingshus","7. Randers Syd","Stevnstrup Forsamlingshus,  Randers Syd, Denmark",NA,NA,NA,NA
"983",730004,"Jebjerg Forsamlingshus","7. Randers Syd","Jebjerg Forsamlingshus,  Randers Syd, Denmark",NA,NA,NA,NA
"984",730005,"Havndalhallen","6. Randers Nord","Havndalhallen,  Randers Nord, Denmark",10.1870294,56.5820954,8983,730
"985",730006,"Råby Forsamlingshus","6. Randers Nord","Råby Forsamlingshus,  Randers Nord, Denmark",NA,NA,NA,NA
"986",730007,"Øster Tørslev Fritidslokaler","6. Randers Nord","Øster Tørslev Fritidslokaler,  Randers Nord, Denmark",NA,NA,NA,NA
"987",730008,"Korshøjskolen","6. Randers Nord","Korshøjskolen,  Randers Nord, Denmark",10.1338879,56.498706,8930,730
"988",730009,"Hald Forsamlingshus","6. Randers Nord","Hald Forsamlingshus,  Randers Nord, Denmark",NA,NA,NA,NA
"989",730010,"Gjerlev Enslev Skole","6. Randers Nord","Gjerlev Enslev Skole,  Randers Nord, Denmark",NA,NA,NA,NA
"990",730011,"Rismølleskolen","6. Randers Nord","Rismølleskolen,  Randers Nord, Denmark",10.0675346,56.4752374,8930,730
"991",730012,"Rytterskolen","6. Randers Nord","Rytterskolen,  Randers Nord, Denmark",9.9638233,56.5038935,8920,730
"992",730013,"Hornbækhallen","6. Randers Nord","Hornbækhallen,  Randers Nord, Denmark",NA,NA,NA,NA
"993",730014,"Blicherskolen","6. Randers Nord","Blicherskolen,  Randers Nord, Denmark",10.037006,56.541293,8981,730
"994",730015,"Kultur-Aktivitetshuset Gassum","6. Randers Nord","Kultur-Aktivitetshuset Gassum,  Randers Nord, Denmark",NA,NA,NA,NA
"995",730016,"Asferg Forsamlingshus","7. Randers Syd","Asferg Forsamlingshus,  Randers Syd, Denmark",NA,NA,NA,NA
"996",730017,"Purhushallen","7. Randers Syd","Purhushallen,  Randers Syd, Denmark",NA,NA,NA,NA
"997",730021,"Ø. Bjerregrav Forsamlingshus","7. Randers Syd","� Bjerregrav Forsamlingshus,  Randers Syd, Denmark",NA,NA,NA,NA
"998",730024,"Hadsundvejens Skole","7. Randers Syd","Hadsundvejens Skole,  Randers Syd, Denmark",10.0392696,56.4659861,8900,730
"999",730025,"Hobrovejens Skole","7. Randers Syd","Hobrovejens Skole,  Randers Syd, Denmark",10.0231329,56.4668046,8900,730
"1000",730026,"Nyvangsskolen","6. Randers Nord","Nyvangsskolen,  Randers Nord, Denmark",10.024084,56.475273,8920,730
"1001",730027,"Nørrevangsskolen","6. Randers Nord","Nørrevangsskolen,  Randers Nord, Denmark",10.0376637,56.4769569,8930,730
"1002",730028,"Fritidscentret","7. Randers Syd","Fritidscentret,  Randers Syd, Denmark",NA,NA,NA,NA
"1003",730029,"Vestervangsskolen","6. Randers Nord","Vestervangsskolen,  Randers Nord, Denmark",10.008028,56.472808,8920,730
"1004",730030,"Østervangsskolen","6. Randers Nord","Østervangsskolen,  Randers Nord, Denmark",NA,NA,NA,NA
"1005",730031,"Søndermarkskolen","7. Randers Syd","Søndermarkskolen,  Randers Syd, Denmark",NA,NA,NA,NA
"1006",730032,"Kristrup Skole","7. Randers Syd","Kristrup Skole,  Randers Syd, Denmark",10.057266,56.445793,8960,730
"1007",730033,"Paderup Gymnasium","7. Randers Syd","Paderup Gymnasium,  Randers Syd, Denmark",10.07437,56.4320004,8960,730
"1008",730034,"Romalt Aktivitetshal","7. Randers Syd","Romalt Aktivitetshal,  Randers Syd, Denmark",NA,NA,NA,NA
"1009",730036,"Assentofthallen","7. Randers Syd","Assentofthallen,  Randers Syd, Denmark",10.1611606,56.4464201,8960,730
"1010",730037,"Uggelhuse Forsamlingshus","7. Randers Syd","Uggelhuse Forsamlingshus,  Randers Syd, Denmark",NA,NA,NA,NA
"1011",740001,"Ans","5. Silkeborg Nord","Ans,  Silkeborg Nord, Denmark",9.5877459,56.307347,8643,740
"1012",740002,"Funder","5. Silkeborg Nord","Funder,  Silkeborg Nord, Denmark",9.47578,56.149343,8600,740
"1013",740003,"Fårvang","5. Silkeborg Nord","Fårvang,  Silkeborg Nord, Denmark",9.727426,56.267286,8882,740
"1014",740004,"Gjern","5. Silkeborg Nord","Gjern,  Silkeborg Nord, Denmark",9.7375498,56.2299583,8883,740
"1015",740005,"Grauballe","5. Silkeborg Nord","Grauballe,  Silkeborg Nord, Denmark",9.633686,56.226705,8600,740
"1016",740006,"Gødvad","5. Silkeborg Nord","Gødvad,  Silkeborg Nord, Denmark",9.606769,56.184483,8600,740
"1017",740007,"Kjellerup","5. Silkeborg Nord","Kjellerup,  Silkeborg Nord, Denmark",9.435532,56.284643,8620,740
"1018",740008,"Kragelund","5. Silkeborg Nord","Kragelund,  Silkeborg Nord, Denmark",9.4088239,56.194912,8600,740
"1019",740009,"Lemming","5. Silkeborg Nord","Lemming,  Silkeborg Nord, Denmark",9.5466721,56.2397988,8632,740
"1020",740010,"Linå","5. Silkeborg Nord","Linå,  Silkeborg Nord, Denmark",9.68866,56.15387,8600,740
"1021",740011,"Resenbro","5. Silkeborg Nord","Resenbro,  Silkeborg Nord, Denmark",9.650196,56.182433,8600,740
"1022",740012,"Sejling","5. Silkeborg Nord","Sejling,  Silkeborg Nord, Denmark",9.5187709,56.217341,8600,740
"1023",740013,"Sejs","5. Silkeborg Nord","Sejs,  Silkeborg Nord, Denmark",9.60668,56.138756,8600,740
"1024",740014,"Sjørslev","5. Silkeborg Nord","Sjørslev,  Silkeborg Nord, Denmark",9.442887,56.328379,8620,740
"1025",740015,"Sorring","5. Silkeborg Nord","Sorring,  Silkeborg Nord, Denmark",9.776233,56.177425,8641,740
"1026",740016,"Thorning","5. Silkeborg Nord","Thorning,  Silkeborg Nord, Denmark",9.330974,56.284124,8620,740
"1027",740017,"Vinderslev","5. Silkeborg Nord","Vinderslev,  Silkeborg Nord, Denmark",9.42891,56.254696,8620,740
"1028",740018,"Voel","5. Silkeborg Nord","Voel,  Silkeborg Nord, Denmark",9.693059,56.190116,8600,740
"1029",740021,"Balle","6. Silkeborg Syd","Balle,  Silkeborg Syd, Denmark",9.5307756,56.1824083,8600,740
"1030",740022,"Bryrup","6. Silkeborg Syd","Bryrup,  Silkeborg Syd, Denmark",9.522354,56.023154,8654,740
"1031",740023,"Buskelund","6. Silkeborg Syd","Buskelund,  Silkeborg Syd, Denmark",9.4964245,56.1733691,8600,740
"1032",740024,"Gjessø","6. Silkeborg Syd","Gjessø,  Silkeborg Syd, Denmark",9.493921,56.116001,8600,740
"1033",740025,"Hjøllund","6. Silkeborg Syd","Hjøllund,  Silkeborg Syd, Denmark",9.378141,56.070727,7362,740
"1034",740026,"Langsøskolen","6. Silkeborg Syd","Langsøskolen,  Silkeborg Syd, Denmark",9.5645053,56.1728915,8600,740
"1035",740027,"Lysbro","6. Silkeborg Syd","Lysbro,  Silkeborg Syd, Denmark",9.504668,56.156431,8600,740
"1036",740028,"Nordre","6. Silkeborg Syd","Nordre,  Silkeborg Syd, Denmark",9.5549216,56.176362,8600,740
"1037",740029,"Jysk Arena","6. Silkeborg Syd","Jysk Arena,  Silkeborg Syd, Denmark",9.5734063,56.1843298,8600,740
