"year","valgstedid","voters","votes","a","b","c","v","vsnavn","komnavn","kredsnavn","kontanthjaelp","arbejd","boligstoer_kvm","ejer","formue","indkomst","indkomst_80pct","zip","muninum","y","zipy","hp_1yr","hp_2yr","incsupport","hp_1yrposchange","hp_1yrnegchange","hp_2yrposchange","hp_2yrnegchange"
2005,751055,623,564,0.262411,0.0567376,0.0691489,0.352837,"Spørring Fælleshus","Århus","3. Århus Nord",0.03327,0.614068,120.801,0.662921,769903,513113,7.15542e+06,NA,NA,5,"NA_5",NA,NA,0.421986,NA,NA,NA,NA
2007,751055,683,608,0.279605,0.0279605,0.0773026,0.286184,"Spørring Fælleshus","Århus","3. Århus Nord",0.03327,0.614068,120.801,0.662921,769903,513113,7.15542e+06,NA,NA,7,"NA_7",NA,NA,0.363487,NA,NA,NA,NA
2011,751055,757,685,0.248175,0.0773723,0.0437956,0.325547,"Spørring Fælleshus","Århus","3. Århus Nord",0.03327,0.614068,124.443,0.576832,769903,513113,7.15542e+06,NA,NA,11,"NA_11",NA,NA,0.369343,NA,NA,NA,NA
2015,751055,733,634,0.271293,0.0425868,0.0362776,0.208202,"Spørring Fælleshus","Århus","3. Århus Nord",0.03327,0.614068,124.443,0.576832,769903,513113,7.15542e+06,NA,NA,15,"NA_15",NA,NA,0.31388,NA,NA,NA,NA
2005,751056,1334,1165,0.282403,0.0686695,0.072103,0.340773,"Hårup Hallen","Århus","3. Århus Nord",0.029019,0.629173,NA,0.787265,1.30122e+06,560030,743710,NA,NA,5,"NA_5",NA,NA,0.412876,NA,NA,NA,NA
2007,751056,1291,1174,0.265758,0.0374787,0.0715503,0.335605,"Hårup Hallen","Århus","3. Århus Nord",0.029019,0.629173,NA,0.787265,1.30122e+06,560030,743710,NA,NA,7,"NA_7",NA,NA,0.407155,NA,NA,NA,NA
2011,751056,1417,1272,0.263365,0.081761,0.0267296,0.339623,"Hårup Hallen","Århus","3. Århus Nord",0.029019,0.629173,137.539,0.776685,1.30122e+06,560030,743710,NA,NA,11,"NA_11",NA,NA,0.366352,NA,NA,NA,NA
2015,751056,1420,1271,0.254131,0.0314713,0.0173092,0.276161,"Hårup Hallen","Århus","3. Århus Nord",0.029019,0.629173,137.539,0.776685,1.30122e+06,560030,743710,NA,NA,15,"NA_15",NA,NA,0.285602,NA,NA,NA,NA
2005,751061,7778,6586,0.300182,0.145612,0.0920134,0.178864,"Vejlby Risskov Hallen","Århus","4. Århus Øst",0.0383521,0.639431,67.6365,0.193904,303590,306393,463322,8240,751,5,"8240_5",22.2983,36.301,0.270878,22.2983,0,36.301,0
2007,751061,7578,6487,0.30168,0.0835517,0.0807769,0.154925,"Vejlby Risskov Hallen","Århus","4. Århus Øst",0.0383521,0.639431,67.6365,0.193904,303590,306393,463322,8240,751,7,"8240_7",-10.4174,-3.52017,0.235702,0,10.4174,0,3.52017
2011,751061,7663,6627,0.281274,0.155123,0.0328957,0.152105,"Vejlby Risskov Hallen","Århus","4. Århus Øst",0.0383521,0.639431,67.9256,0.187934,303590,306393,463322,8240,751,11,"8240_11",-6.35976,11.8386,0.185001,0,6.35976,11.8386,0
2015,751061,7893,6630,0.27994,0.0755656,0.0224736,0.10543,"Vejlby Risskov Hallen","Århus","4. Århus Øst",0.0383521,0.639431,67.9256,0.187934,303590,306393,463322,8240,751,15,"8240_15",11.9547,5.29611,0.355505,11.9547,0,5.29611,0
2005,751062,2620,2034,0.470501,0.0644051,0.0462144,0.135202,"Søndervangskolen,Viby J","Århus","2. Århus Vest",0.0612849,0.545224,89.6836,0.0747908,174855,327573,484139,NA,NA,5,"NA_5",NA,NA,0.181416,NA,NA,NA,NA
2007,751062,2419,1910,0.432984,0.0308901,0.0434555,0.125131,"Søndervangskolen,Viby J","Århus","2. Århus Vest",0.0612849,0.545224,89.6836,0.0747908,174855,327573,484139,NA,NA,7,"NA_7",NA,NA,0.168586,NA,NA,NA,NA
2011,751062,2479,2003,0.420869,0.0773839,0.0239641,0.118822,"Søndervangskolen,Viby J","Århus","2. Århus Vest",0.0612849,0.545224,90.5932,0.0736292,174855,327573,484139,NA,NA,11,"NA_11",NA,NA,0.142786,NA,NA,NA,NA
2015,751062,2499,1858,0.3676,0.0489774,0.01507,0.090958,"Søndervangskolen,Viby J","Århus","2. Århus Vest",0.0612849,0.545224,90.5932,0.0736292,174855,327573,484139,NA,NA,15,"NA_15",NA,NA,0.416577,NA,NA,NA,NA
2005,751063,8794,7195,0.385268,0.123558,0.0657401,0.142738,"Center -10 (Frydenlundskolen)","Århus","3. Århus Nord",0.0457347,0.593912,81.122,0.191113,393000,324561,511268,8210,751,5,"8210_5",27.4372,37.8834,0.208478,27.4372,0,37.8834,0
2007,751063,8921,7483,0.332888,0.0712281,0.0612054,0.122277,"Center -10 (Frydenlundskolen)","Århus","3. Århus Nord",0.0457347,0.593912,81.1218,0.191113,393000,324561,511268,8210,751,7,"8210_7",-6.00101,-10.5965,0.183483,0,6.00101,0,10.5965
