type;area;Q4_05;Q4_06;Q4_07;;
Parcel-/rækkehus;5330 Munkebo;13;8;6;;
Parcel-/rækkehus;5350 Rynkeby;3;3;2;;
Parcel-/rækkehus;5370 Mesinge;5;3;0;;
Parcel-/rækkehus;5380 Dalby;0;5;0;;
Parcel-/rækkehus;5390 Martofte;3;0;0;;
Parcel-/rækkehus;5400 Bogense;14;6;6;;
Parcel-/rækkehus;5450 Otterup;37;21;24;;
Parcel-/rækkehus;5462 Morud;3;9;4;;
Parcel-/rækkehus;5463 Harndrup;6;1;3;;
Parcel-/rækkehus;5464 Brenderup Fyn;4;1;4;;
Parcel-/rækkehus;5466 Asperup;1;4;1;;
Parcel-/rækkehus;5471 Søndersø;19;25;23;;
Parcel-/rækkehus;5474 Veflinge;4;1;3;;
Parcel-/rækkehus;5485 Skamby;0;7;2;;
Parcel-/rækkehus;5491 Blommenslyst;4;0;5;;
Parcel-/rækkehus;5492 Vissenbjerg;15;9;10;;
Parcel-/rækkehus;5500 Middelfart;42;55;53;;
Parcel-/rækkehus;5540 Ullerslev;20;13;21;;
Parcel-/rækkehus;5550 Langeskov;12;10;10;;
Parcel-/rækkehus;5560 Aarup;14;13;10;;
Parcel-/rækkehus;5580 Nørre Aaby;7;6;8;;
Parcel-/rækkehus;5591 Gelsted;5;5;2;;
Parcel-/rækkehus;5592 Ejby;7;15;5;;
Parcel-/rækkehus;5600 Faaborg;40;19;20;;
Parcel-/rækkehus;5610 Assens;30;33;18;;
Parcel-/rækkehus;5620 Glamsbjerg;25;6;14;;
Parcel-/rækkehus;5631 Ebberup;4;3;3;;
Parcel-/rækkehus;5642 Millinge;3;4;4;;
Parcel-/rækkehus;5672 Broby;13;7;5;;
Parcel-/rækkehus;5683 Haarby;17;8;15;;
Parcel-/rækkehus;5690 Tommerup;15;23;23;;
Parcel-/rækkehus;5700 Svendborg;96;76;71;;
Parcel-/rækkehus;5750 Ringe;31;18;20;;
Parcel-/rækkehus;5762 Vester Skerninge;15;9;11;;
Parcel-/rækkehus;5771 Stenstrup;18;12;16;;
Parcel-/rækkehus;5772 Kværndrup;5;5;5;;
Parcel-/rækkehus;5792 Årslev;19;19;10;;
Parcel-/rækkehus;5800 Nyborg;22;37;34;;
Parcel-/rækkehus;5853 Ørbæk;12;16;10;;
Parcel-/rækkehus;5854 Gislev;6;2;12;;
Parcel-/rækkehus;5856 Ryslinge;4;8;9;;
Parcel-/rækkehus;5863 Ferritslev Fyn;8;1;0;;
Parcel-/rækkehus;5871 Frørup;6;7;5;;
Parcel-/rækkehus;5874 Hesselager;7;4;9;;
Parcel-/rækkehus;5881 Skårup Fyn;6;9;9;;
Parcel-/rækkehus;5882 Vejstrup;3;0;3;;
Parcel-/rækkehus;5883 Oure;3;4;2;;
Parcel-/rækkehus;5884 Gudme;3;2;3;;
Parcel-/rækkehus;5892 Gudbjerg Sydfyn;1;2;1;;
Parcel-/rækkehus;5900 Rudkøbing;22;14;11;;
Parcel-/rækkehus;5932 Humble;10;4;10;;
Parcel-/rækkehus;5935 Bagenkop;2;3;1;;
Parcel-/rækkehus;5953 Tranekær;15;10;11;;
Parcel-/rækkehus;5960 Marstal;8;7;12;;
Parcel-/rækkehus;5970 Ærøskøbing;4;2;4;;
Parcel-/rækkehus;5985 Søby Ærø;0;2;2;;
Parcel-/rækkehus;6000 Kolding;130;70;152;;
Parcel-/rækkehus;6040 Egtved;20;28;15;;
Parcel-/rækkehus;6051 Almind;4;3;7;;
Parcel-/rækkehus;6052 Viuf;3;0;0;;
Parcel-/rækkehus;6064 Jordrup;3;5;4;;
Parcel-/rækkehus;6070 Christiansfeld;8;13;13;;
Parcel-/rækkehus;6091 Bjert;7;3;7;;
Parcel-/rækkehus;6092 Sønder Stenderup;3;1;1;;
Parcel-/rækkehus;6093 Sjølund;2;1;3;;
Parcel-/rækkehus;6094 Hejls;2;4;2;;
Parcel-/rækkehus;6100 Haderslev;41;48;71;;
Parcel-/rækkehus;6200 Aabenraa;41;38;56;;
Parcel-/rækkehus;6230 Rødekro;17;9;27;;
Parcel-/rækkehus;6240 Løgumkloster;9;11;16;;
Parcel-/rækkehus;6261 Bredebro;6;6;11;;
Parcel-/rækkehus;6270 Tønder;19;13;34;;
Parcel-/rækkehus;6280 Højer;7;4;2;;
Parcel-/rækkehus;6300 Gråsten;20;10;13;;
Parcel-/rækkehus;6310 Broager;10;4;6;;
Parcel-/rækkehus;6320 Egernsund;4;4;3;;
Parcel-/rækkehus;6330 Padborg;13;12;10;;
Parcel-/rækkehus;6340 Kruså;6;6;11;;
Parcel-/rækkehus;6360 Tinglev;9;5;6;;
Parcel-/rækkehus;6372 Bylderup-Bov;4;4;6;;
Parcel-/rækkehus;6392 Bolderslev;0;2;5;;
Parcel-/rækkehus;6400 Sønderborg;48;34;39;;
Parcel-/rækkehus;6430 Nordborg;21;20;20;;
Parcel-/rækkehus;6440 Augustenborg;12;12;15;;
Parcel-/rækkehus;6470 Sydals;16;11;10;;
Parcel-/rækkehus;6500 Vojens;28;34;39;;
Parcel-/rækkehus;6510 Gram;12;8;8;;
Parcel-/rækkehus;6520 Toftlund;19;7;18;;
Parcel-/rækkehus;6534 Agerskov;5;3;2;;
Parcel-/rækkehus;6535 Branderup J;3;3;4;;
Parcel-/rækkehus;6541 Bevtoft;4;3;4;;
Parcel-/rækkehus;6560 Sommersted;4;4;10;;
Parcel-/rækkehus;6580 Vamdrup;20;17;22;;
Parcel-/rækkehus;6600 Vejen;36;44;35;;
Parcel-/rækkehus;6621 Gesten;5;4;4;;
Parcel-/rækkehus;6622 Bække;6;4;4;;
Parcel-/rækkehus;6623 Vorbasse;1;4;3;;
Parcel-/rækkehus;6630 Rødding;27;38;35;;
Parcel-/rækkehus;6640 Lunderskov;17;5;10;;
Parcel-/rækkehus;6650 Brørup;21;18;11;;
Parcel-/rækkehus;6660 Lintrup;4;1;4;;
Parcel-/rækkehus;6670 Holsted;11;5;13;;
Parcel-/rækkehus;6682 Hovborg;0;1;3;;
Parcel-/rækkehus;6683 Føvling;3;4;3;;
Parcel-/rækkehus;6690 Gørding;7;4;4;;
Parcel-/rækkehus;6700 Esbjerg;25;12;24;;
Parcel-/rækkehus;6705 Esbjerg Ø;18;9;27;;
Parcel-/rækkehus;6710 Esbjerg V;21;29;40;;
Parcel-/rækkehus;6715 Esbjerg N;19;9;19;;
Parcel-/rækkehus;6720 Fanø;8;4;4;;
Parcel-/rækkehus;6731 Tjæreborg;1;4;3;;
Parcel-/rækkehus;6740 Bramming;25;15;23;;
Parcel-/rækkehus;6752 Glejbjerg;2;1;1;;
Parcel-/rækkehus;6753 Agerbæk;3;5;5;;
Parcel-/rækkehus;6760 Ribe;31;27;32;;
Parcel-/rækkehus;6771 Gredstedbro;9;4;3;;
Parcel-/rækkehus;6780 Skærbæk;4;10;11;;
Parcel-/rækkehus;6792 Rømø;5;1;3;;
Parcel-/rækkehus;6800 Varde;17;21;38;;
Parcel-/rækkehus;6818 Årre;12;5;9;;
Parcel-/rækkehus;6823 Ansager;3;9;11;;
Parcel-/rækkehus;6830 Nørre Nebel;14;10;16;;
Parcel-/rækkehus;6840 Oksbøl;6;9;9;;
Parcel-/rækkehus;6851 Janderup Vestj;3;2;3;;
Parcel-/rækkehus;6852 Billum;1;2;1;;
Parcel-/rækkehus;6853 Vejers Strand;..;..;..;;
Parcel-/rækkehus;6854 Henne;1;0;0;;
Parcel-/rækkehus;6855 Outrup;5;5;8;;
Parcel-/rækkehus;6857 Blåvand;3;1;1;;
Parcel-/rækkehus;6862 Tistrup;7;3;4;;
Parcel-/rækkehus;6870 Ølgod;20;12;9;;
Parcel-/rækkehus;6880 Tarm;12;26;21;;
Parcel-/rækkehus;6893 Hemmet;6;7;6;;
Parcel-/rækkehus;6900 Skjern;30;27;30;;
Parcel-/rækkehus;6920 Videbæk;15;22;25;;
Parcel-/rækkehus;6933 Kibæk;13;11;11;;
Parcel-/rækkehus;6940 Lem St;5;8;5;;
Parcel-/rækkehus;6950 Ringkøbing;29;24;41;;
Parcel-/rækkehus;6960 Hvide Sande;11;11;9;;
Parcel-/rækkehus;6971 Spjald;5;4;10;;
Parcel-/rækkehus;6973 Ørnhøj;2;1;1;;
Parcel-/rækkehus;6980 Tim;5;4;7;;
Parcel-/rækkehus;6990 Ulfborg;11;15;9;;
Parcel-/rækkehus;7000 Fredericia;105;74;98;;
Parcel-/rækkehus;7080 Børkop;21;22;26;;
Parcel-/rækkehus;7100 Vejle;89;70;92;;
Parcel-/rækkehus;7120 Vejle Øst;18;22;28;;
Parcel-/rækkehus;7130 Juelsminde;24;10;10;;
Parcel-/rækkehus;7140 Stouby;8;8;6;;
Parcel-/rækkehus;7150 Barrit;4;4;3;;
Parcel-/rækkehus;7160 Tørring;18;18;11;;
Parcel-/rækkehus;7171 Uldum;5;5;3;;
Parcel-/rækkehus;7173 Vonge;2;1;5;;
Parcel-/rækkehus;7182 Bredsten;6;5;6;;
